Season,Team,Round.Number,Season.Points,Score.For,Score.Against,Percentage,Ladder.Position
2017,Adelaide,1,4,147,91,1.615384615,1
2017,Geelong,1,4,115,73,1.575342466,2
2017,Richmond,1,4,132,89,1.483146067,3
2017,West Coast,1,4,136,93,1.462365591,4
2017,Port Adelaide,1,4,110,82,1.341463415,5
2017,Melbourne,1,4,120,90,1.333333333,6
2017,Essendon,1,4,116,91,1.274725275,7
2017,Footscray,1,4,100,86,1.162790698,8
2017,Brisbane Lions,1,4,98,96,1.020833333,9
2017,Gold Coast,1,0,96,98,0.979591837,10
2017,Collingwood,1,0,86,100,0.86,11
2017,Hawthorn,1,0,91,116,0.784482759,12
2017,St Kilda,1,0,90,120,0.75,13
2017,Sydney,1,0,82,110,0.745454545,14
2017,North Melbourne,1,0,93,136,0.683823529,15
2017,Carlton,1,0,89,132,0.674242424,16
2017,Fremantle,1,0,73,115,0.634782609,17
2017,GWS,1,0,91,147,0.619047619,18
2017,Port Adelaide,2,8,255,138,1.847826087,1
2017,Adelaide,2,8,260,180,1.444444444,2
2017,Richmond,2,8,231,169,1.366863905,3
2017,Melbourne,2,8,206,154,1.337662338,4
2017,West Coast,2,8,252,190,1.326315789,5
2017,Essendon,2,8,227,175,1.297142857,6
2017,Geelong,2,8,227,184,1.233695652,7
2017,Footscray,2,8,210,173,1.213872832,8
2017,GWS,2,4,251,205,1.224390244,9
2017,Brisbane Lions,2,4,182,207,0.879227053,10
2017,Collingwood,2,0,166,199,0.834170854,11
2017,North Melbourne,2,0,204,248,0.822580645,12
2017,St Kilda,2,0,187,236,0.792372881,13
2017,Hawthorn,2,0,180,229,0.786026201,14
2017,Sydney,2,0,169,220,0.768181818,15
2017,Carlton,2,0,153,218,0.701834862,16
2017,Gold Coast,2,0,154,258,0.596899225,17
2017,Fremantle,2,0,129,260,0.496153846,18
2017,Adelaide,3,12,360,263,1.368821293,1
2017,Richmond,3,12,307,234,1.311965812,2
2017,Geelong,3,12,353,281,1.256227758,3
2017,Port Adelaide,3,8,338,238,1.420168067,4
2017,GWS,3,8,360,272,1.323529412,5
2017,West Coast,3,8,317,266,1.191729323,6
2017,Essendon,3,8,269,232,1.159482759,7
2017,Melbourne,3,8,303,280,1.082142857,8
2017,Footscray,3,8,283,262,1.080152672,9
2017,St Kilda,3,4,294,312,0.942307692,10
2017,Gold Coast,3,4,293,311,0.942122186,11
2017,Collingwood,3,4,246,278,0.884892086,12
2017,Brisbane Lions,3,4,258,314,0.821656051,13
2017,Carlton,3,4,210,260,0.807692308,14
2017,Fremantle,3,4,218,333,0.654654655,15
2017,Sydney,3,0,248,300,0.826666667,16
2017,North Melbourne,3,0,271,357,0.759103641,17
2017,Hawthorn,3,0,233,368,0.633152174,18
2017,Geelong,4,16,487,329,1.480243161,1
2017,Adelaide,4,16,513,351,1.461538462,2
2017,Richmond,4,16,426,301,1.415282392,3
2017,GWS,4,12,472,353,1.337110482,4
2017,West Coast,4,12,408,331,1.232628399,5
2017,Footscray,4,12,372,348,1.068965517,6
2017,Port Adelaide,4,8,419,350,1.197142857,7
2017,Melbourne,4,8,407,386,1.054404145,8
2017,Gold Coast,4,8,401,393,1.020356234,9
2017,St Kilda,4,8,363,367,0.989100817,10
2017,Essendon,4,8,357,385,0.927272727,11
2017,Fremantle,4,8,324,437,0.741418764,12
2017,Collingwood,4,4,301,347,0.867435159,13
2017,Carlton,4,4,292,368,0.793478261,14
2017,Brisbane Lions,4,4,325,433,0.750577367,15
2017,Sydney,4,0,313,391,0.800511509,16
2017,North Melbourne,4,0,357,446,0.80044843,17
2017,Hawthorn,4,0,281,502,0.559760956,18
2017,Adelaide,5,20,666,437,1.52402746,1
2017,Geelong,5,20,613,417,1.470023981,2
2017,Richmond,5,20,514,376,1.367021277,3
2017,GWS,5,16,577,416,1.387019231,4
2017,Footscray,5,16,494,438,1.127853881,5
2017,Port Adelaide,5,12,556,397,1.400503778,6
2017,West Coast,5,12,483,456,1.059210526,7
2017,Essendon,5,12,457,467,0.978586724,8
2017,Fremantle,5,12,391,499,0.783567134,9
2017,Melbourne,5,8,482,474,1.016877637,10
2017,St Kilda,5,8,451,493,0.914807302,11
2017,Gold Coast,5,8,487,546,0.891941392,12
2017,Collingwood,5,4,383,447,0.856823266,13
2017,Brisbane Lions,5,4,415,555,0.747747748,14
2017,Hawthorn,5,4,406,577,0.703639515,15
2017,Carlton,5,4,339,505,0.671287129,16
2017,North Melbourne,5,0,419,513,0.816764133,17
2017,Sydney,5,0,376,496,0.758064516,18
2017,Adelaide,6,24,806,501,1.608782435,1
2017,GWS,6,20,652,489,1.333333333,2
2017,Geelong,6,20,691,524,1.31870229,3
2017,Richmond,6,20,578,516,1.120155039,4
2017,Port Adelaide,6,16,706,464,1.521551724,5
2017,West Coast,6,16,586,518,1.131274131,6
2017,Footscray,6,16,567,513,1.105263158,7
2017,Melbourne,6,12,594,548,1.083941606,8
2017,St Kilda,6,12,581,548,1.060218978,9
2017,Essendon,6,12,531,579,0.917098446,10
2017,Fremantle,6,12,453,602,0.752491694,11
2017,Collingwood,6,8,490,525,0.933333333,12
2017,Gold Coast,6,8,581,653,0.889739663,13
2017,Carlton,6,8,436,583,0.747855918,14
2017,North Melbourne,6,4,526,607,0.866556837,15
2017,Brisbane Lions,6,4,482,705,0.683687943,16
2017,Hawthorn,6,4,461,707,0.652050919,17
2017,Sydney,6,0,454,593,0.765598651,18
2017,Adelaide,7,24,892,646,1.380804954,1
2017,GWS,7,20,737,597,1.234505863,2
2017,Geelong,7,20,790,648,1.219135802,3
2017,West Coast,7,20,683,605,1.12892562,4
2017,Footscray,7,20,647,588,1.100340136,5
2017,Richmond,7,20,653,596,1.095637584,6
2017,Port Adelaide,7,16,793,561,1.413547237,7
2017,St Kilda,7,16,689,633,1.088467615,8
2017,Fremantle,7,16,569,681,0.835535977,9
2017,Melbourne,7,12,685,642,1.066978193,10
2017,Gold Coast,7,12,705,752,0.9375,11
2017,Essendon,7,12,610,695,0.877697842,12
2017,Carlton,7,12,515,639,0.805946792,13
2017,North Melbourne,7,8,671,693,0.968253968,14
2017,Collingwood,7,8,546,604,0.90397351,15
2017,Hawthorn,7,8,555,798,0.695488722,16
2017,Sydney,7,4,589,674,0.87388724,17
2017,Brisbane Lions,7,4,563,840,0.670238095,18
2017,Adelaide,8,24,958,753,1.272244356,1
2017,GWS,8,24,839,696,1.20545977,2
2017,West Coast,8,24,752,666,1.129129129,3
2017,Port Adelaide,8,20,903,599,1.507512521,4
2017,Geelong,8,20,883,758,1.164907652,5
2017,St Kilda,8,20,774,699,1.107296137,6
2017,Richmond,8,20,723,668,1.082335329,7
2017,Footscray,8,20,708,657,1.077625571,8
2017,Fremantle,8,20,641,751,0.853528628,9
2017,Melbourne,8,16,792,708,1.118644068,10
2017,Essendon,8,16,720,788,0.913705584,11
2017,Gold Coast,8,12,743,862,0.861948956,12
2017,Carlton,8,12,581,724,0.802486188,13
2017,Hawthorn,8,12,668,873,0.765177549,14
2017,Sydney,8,8,709,752,0.942819149,15
2017,North Melbourne,8,8,749,813,0.921279213,16
2017,Collingwood,8,8,645,706,0.913597734,17
2017,Brisbane Lions,8,4,638,953,0.669464848,18
2017,Adelaide,9,28,1098,813,1.350553506,1
2017,GWS,9,28,917,771,1.189364462,2
2017,Geelong,9,24,987,839,1.176400477,3
2017,West Coast,9,24,816,791,1.031605563,4
2017,Fremantle,9,24,727,802,0.906483791,5
2017,Port Adelaide,9,20,903,599,1.507512521,6
2017,Richmond,9,20,798,746,1.069705094,7
2017,Footscray,9,20,789,761,1.036793693,8
2017,St Kilda,9,20,842,817,1.030599755,9
2017,Essendon,9,20,845,852,0.991784038,10
2017,Melbourne,9,16,882,812,1.086206897,11
2017,Sydney,9,12,827,820,1.008536585,12
2017,Collingwood,9,12,735,778,0.944730077,13
2017,North Melbourne,9,12,853,903,0.944629014,14
2017,Gold Coast,9,12,743,862,0.861948956,15
2017,Carlton,9,12,632,810,0.780246914,16
2017,Hawthorn,9,12,740,963,0.768431983,17
2017,Brisbane Lions,9,4,698,1093,0.638609332,18
2017,Adelaide,10,32,1241,856,1.449766355,1
2017,GWS,10,32,1015,861,1.178861789,2
2017,Geelong,10,28,1068,918,1.163398693,3
2017,Footscray,10,24,879,811,1.083847102,4
2017,Richmond,10,24,879,812,1.082512315,5
2017,West Coast,10,24,906,889,1.01912261,6
2017,Fremantle,10,24,770,945,0.814814815,7
2017,Port Adelaide,10,20,982,680,1.444117647,8
2017,Melbourne,10,20,1004,899,1.11679644,9
2017,St Kilda,10,20,892,907,0.983461963,10
2017,Essendon,10,20,911,933,0.97642015,11
2017,Collingwood,10,16,864,862,1.002320186,12
2017,North Melbourne,10,16,966,999,0.966966967,13
2017,Hawthorn,10,16,821,1038,0.790944123,14
2017,Sydney,10,12,902,901,1.001109878,15
2017,Gold Coast,10,12,830,984,0.843495935,16
2017,Carlton,10,12,728,923,0.788732394,17
2017,Brisbane Lions,10,4,782,1222,0.639934534,18
2017,GWS,11,36,1132,962,1.176715177,1
2017,Adelaide,11,32,1315,952,1.381302521,2
2017,Geelong,11,32,1164,992,1.173387097,3
2017,Richmond,11,28,980,878,1.116173121,4
2017,Port Adelaide,11,24,1080,727,1.485557084,5
2017,Footscray,11,24,879,811,1.083847102,6
2017,West Coast,11,24,983,969,1.014447884,7
2017,Fremantle,11,24,855,1050,0.814285714,8
2017,Melbourne,11,20,1004,899,1.11679644,9
2017,Collingwood,11,20,969,947,1.023231257,10
2017,St Kilda,11,20,892,907,0.983461963,11
2017,Essendon,11,20,1012,1050,0.963809524,12
2017,North Melbourne,11,16,1032,1100,0.938181818,13
2017,Gold Coast,11,16,910,1061,0.857681433,14
2017,Hawthorn,11,16,868,1136,0.764084507,15
2017,Sydney,11,12,902,901,1.001109878,16
2017,Carlton,11,12,728,923,0.788732394,17
2017,Brisbane Lions,11,4,782,1222,0.639934534,18
2017,Adelaide,12,36,1426,1006,1.41749503,1
2017,GWS,12,36,1202,1033,1.163601162,2
2017,Geelong,12,32,1164,992,1.173387097,3
2017,Richmond,12,28,980,878,1.116173121,4
2017,Port Adelaide,12,24,1141,858,1.32983683,5
2017,Melbourne,12,24,1108,999,1.109109109,6
2017,Essendon,12,24,1143,1111,1.02880288,7
2017,Footscray,12,24,921,899,1.024471635,8
2017,West Coast,12,24,983,969,1.014447884,9
2017,Fremantle,12,24,919,1171,0.784799317,10
2017,Collingwood,12,20,1069,1051,1.017126546,11
2017,St Kilda,12,20,946,1018,0.929273084,12
2017,Gold Coast,12,20,1005,1140,0.881578947,13
2017,Sydney,12,16,990,943,1.049840933,14
2017,North Melbourne,12,16,1032,1100,0.938181818,15
2017,Carlton,12,16,799,993,0.804632427,16
2017,Hawthorn,12,16,947,1231,0.769293258,17
2017,Brisbane Lions,12,8,903,1286,0.702177294,18
2017,Adelaide,13,36,1426,1006,1.41749503,1
2017,GWS,13,36,1202,1033,1.163601162,2
2017,Geelong,13,32,1234,1075,1.147906977,3
2017,Port Adelaide,13,28,1262,939,1.343982961,4
2017,Melbourne,13,28,1221,1055,1.157345972,5
2017,Richmond,13,28,1051,958,1.097077244,6
2017,West Coast,13,28,1066,1039,1.025986526,7
2017,Essendon,13,24,1143,1111,1.02880288,8
2017,Footscray,13,24,977,1012,0.96541502,9
2017,St Kilda,13,24,1035,1090,0.949541284,10
2017,Fremantle,13,24,919,1171,0.784799317,11
2017,Sydney,13,20,1070,1014,1.055226824,12
2017,Collingwood,13,20,1069,1051,1.017126546,13
2017,Gold Coast,13,20,1078,1223,0.881439084,14
2017,Carlton,13,20,882,1066,0.82739212,15
2017,North Melbourne,13,16,1104,1189,0.928511354,16
2017,Hawthorn,13,16,947,1231,0.769293258,17
2017,Brisbane Lions,13,8,984,1407,0.699360341,18
2017,GWS,14,40,1348,1119,1.204647006,1
2017,Adelaide,14,36,1508,1102,1.368421053,2
2017,Geelong,14,36,1308,1147,1.140366173,3
2017,Port Adelaide,14,32,1355,1001,1.353646354,4
2017,Melbourne,14,32,1320,1151,1.146828844,5
2017,Richmond,14,32,1135,1016,1.117125984,6
2017,West Coast,14,28,1162,1138,1.021089631,7
2017,St Kilda,14,28,1138,1162,0.979345955,8
2017,Footscray,14,28,1084,1118,0.969588551,9
2017,Sydney,14,24,1156,1099,1.051865332,10
2017,Essendon,14,24,1228,1197,1.025898079,11
2017,Fremantle,14,24,991,1245,0.795983936,12
2017,Collingwood,14,20,1131,1144,0.988636364,13
2017,Gold Coast,14,20,1150,1326,0.867269985,14
2017,Carlton,14,20,940,1150,0.817391304,15
2017,Hawthorn,14,20,1043,1313,0.794364052,16
2017,North Melbourne,14,16,1210,1296,0.933641975,17
2017,Brisbane Lions,14,8,1070,1553,0.688989053,18
2017,GWS,15,42,1416,1187,1.192923336,1
2017,Adelaide,15,40,1597,1179,1.354537744,2
2017,Geelong,15,38,1376,1215,1.132510288,3
2017,Richmond,15,36,1211,1079,1.122335496,4
2017,Port Adelaide,15,32,1418,1077,1.316620241,5
2017,Melbourne,15,32,1370,1236,1.108414239,6
2017,West Coast,15,32,1249,1218,1.02545156,7
2017,St Kilda,15,32,1227,1242,0.987922705,8
2017,Sydney,15,28,1241,1149,1.080069626,9
2017,Footscray,15,28,1164,1205,0.965975104,10
2017,Essendon,15,24,1310,1287,1.017871018,11
2017,Gold Coast,15,24,1268,1425,0.889824561,12
2017,Hawthorn,15,24,1161,1407,0.825159915,13
2017,Fremantle,15,24,1071,1334,0.802848576,14
2017,Collingwood,15,20,1225,1262,0.970681458,15
2017,Carlton,15,20,1017,1239,0.820823245,16
2017,North Melbourne,15,16,1309,1414,0.925742574,17
2017,Brisbane Lions,15,12,1160,1635,0.709480122,18
2017,Adelaide,16,44,1701,1224,1.389705882,1
2017,GWS,16,44,1513,1284,1.17834891,2
2017,Geelong,16,42,1539,1293,1.19025522,3
2017,Port Adelaide,16,36,1538,1165,1.320171674,4
2017,Melbourne,16,36,1460,1318,1.107738998,5
2017,Richmond,16,36,1282,1217,1.053410025,6
2017,St Kilda,16,36,1365,1313,1.03960396,7
2017,Sydney,16,32,1359,1200,1.1325,8
2017,West Coast,16,32,1337,1338,0.999252616,9
2017,Essendon,16,28,1427,1367,1.043891734,10
2017,Footscray,16,28,1209,1309,0.923605806,11
2017,Fremantle,16,28,1157,1416,0.817090395,12
2017,Hawthorn,16,26,1258,1504,0.83643617,13
2017,Gold Coast,16,24,1319,1543,0.854828257,14
2017,Collingwood,16,20,1305,1379,0.946337926,15
2017,Carlton,16,20,1099,1329,0.826937547,16
2017,North Melbourne,16,16,1391,1500,0.927333333,17
2017,Brisbane Lions,16,12,1238,1798,0.688542825,18
2017,Adelaide,17,48,1817,1294,1.404173107,1
2017,Geelong,17,46,1627,1378,1.180696662,2
2017,GWS,17,44,1596,1380,1.156521739,3
2017,Port Adelaide,17,40,1665,1222,1.362520458,4
2017,Richmond,17,40,1394,1298,1.073959938,5
